variant,test_logloss,test_auc,test_ece,external_test_logloss,external_test_auc
logistic_regression_geo,0.5596455232808022,0.7837643990231612,0.282168242649092,0.5448390614231863,0.7948145745819948
xgboost_geo,0.3028475344181061,0.7889583408094616,0.0052871618817891776,0.27591225504875183,0.8007937978749691
lightgbm_geo,0.30288356391842497,0.787165958716662,0.007320355998361575,0.2742690301123613,0.8027808664854624
logistic_regression_full,0.4310775321429893,0.8045359165796289,0.19432503771104864,0.4061841588021717,0.8201496993657854
xgboost_full,0.2897087335586548,0.812646964943726,0.011673547585811515,0.2648387849330902,0.8175011325261512
lightgbm_full,0.29047881341236764,0.8109032170331071,0.009647690744159342,0.26599795529616715,0.8173338275265628
statsbomb_xg_baseline,0.2927816057368405,0.8090055395750033,0.01814897114639143,0.2665049367538332,0.8147753479943991
